interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,solar,wind
2024-01-01T00:00:00-08:00,2024-01-01 08:00:00+00:00,2024-01-01T01:00:00-08:00,2024-01-01 09:00:00+00:00,NP15,-4.37928,151.64175
2024-01-01T01:00:00-08:00,2024-01-01 09:00:00+00:00,2024-01-01T02:00:00-08:00,2024-01-01 10:00:00+00:00,NP15,-4.36853,213.74746
2024-01-01T02:00:00-08:00,2024-01-01 10:00:00+00:00,2024-01-01T03:00:00-08:00,2024-01-01 11:00:00+00:00,NP15,-4.41871,173.51547
2024-01-01T03:00:00-08:00,2024-01-01 11:00:00+00:00,2024-01-01T04:00:00-08:00,2024-01-01 12:00:00+00:00,NP15,-4.45543,134.65917
2024-01-01T04:00:00-08:00,2024-01-01 12:00:00+00:00,2024-01-01T05:00:00-08:00,2024-01-01 13:00:00+00:00,NP15,-4.46354,83.18335
2024-01-01T05:00:00-08:00,2024-01-01 13:00:00+00:00,2024-01-01T06:00:00-08:00,2024-01-01 14:00:00+00:00,NP15,-4.38674,58.30765
2024-01-01T06:00:00-08:00,2024-01-01 14:00:00+00:00,2024-01-01T07:00:00-08:00,2024-01-01 15:00:00+00:00,NP15,-4.53096,56.38803
2024-01-01T07:00:00-08:00,2024-01-01 15:00:00+00:00,2024-01-01T08:00:00-08:00,2024-01-01 16:00:00+00:00,NP15,55.69518,32.62104
2024-01-01T08:00:00-08:00,2024-01-01 16:00:00+00:00,2024-01-01T09:00:00-08:00,2024-01-01 17:00:00+00:00,NP15,424.65194,9.69158
2024-01-01T09:00:00-08:00,2024-01-01 17:00:00+00:00,2024-01-01T10:00:00-08:00,2024-01-01 18:00:00+00:00,NP15,559.12445,2.89589
2024-01-01T10:00:00-08:00,2024-01-01 18:00:00+00:00,2024-01-01T11:00:00-08:00,2024-01-01 19:00:00+00:00,NP15,610.20425,-0.71611
2024-01-01T11:00:00-08:00,2024-01-01 19:00:00+00:00,2024-01-01T12:00:00-08:00,2024-01-01 20:00:00+00:00,NP15,703.46554,1.31714
2024-01-01T12:00:00-08:00,2024-01-01 20:00:00+00:00,2024-01-01T13:00:00-08:00,2024-01-01 21:00:00+00:00,NP15,811.64664,-3.79164
2024-01-01T13:00:00-08:00,2024-01-01 21:00:00+00:00,2024-01-01T14:00:00-08:00,2024-01-01 22:00:00+00:00,NP15,933.04879,-5.33721
2024-01-01T14:00:00-08:00,2024-01-01 22:00:00+00:00,2024-01-01T15:00:00-08:00,2024-01-01 23:00:00+00:00,NP15,996.85953,-5.18709
2024-01-01T15:00:00-08:00,2024-01-01 23:00:00+00:00,2024-01-01T16:00:00-08:00,2024-01-02 00:00:00+00:00,NP15,720.379,-4.84587
2024-01-01T16:00:00-08:00,2024-01-02 00:00:00+00:00,2024-01-01T17:00:00-08:00,2024-01-02 01:00:00+00:00,NP15,123.30999,-5.31108
