interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2024-01-01T00:00:00-08:00,2024-01-01 08:00:00+00:00,2024-01-01T01:00:00-08:00,2024-01-01 09:00:00+00:00,TH_NP15_GEN-APND,46.75774
2024-01-01T01:00:00-08:00,2024-01-01 09:00:00+00:00,2024-01-01T02:00:00-08:00,2024-01-01 10:00:00+00:00,TH_NP15_GEN-APND,46.04052
2024-01-01T02:00:00-08:00,2024-01-01 10:00:00+00:00,2024-01-01T03:00:00-08:00,2024-01-01 11:00:00+00:00,TH_NP15_GEN-APND,45.13062
2024-01-01T03:00:00-08:00,2024-01-01 11:00:00+00:00,2024-01-01T04:00:00-08:00,2024-01-01 12:00:00+00:00,TH_NP15_GEN-APND,44.93121
2024-01-01T04:00:00-08:00,2024-01-01 12:00:00+00:00,2024-01-01T05:00:00-08:00,2024-01-01 13:00:00+00:00,TH_NP15_GEN-APND,44.5526
2024-01-01T05:00:00-08:00,2024-01-01 13:00:00+00:00,2024-01-01T06:00:00-08:00,2024-01-01 14:00:00+00:00,TH_NP15_GEN-APND,42.91674
2024-01-01T06:00:00-08:00,2024-01-01 14:00:00+00:00,2024-01-01T07:00:00-08:00,2024-01-01 15:00:00+00:00,TH_NP15_GEN-APND,44.73499
2024-01-01T07:00:00-08:00,2024-01-01 15:00:00+00:00,2024-01-01T08:00:00-08:00,2024-01-01 16:00:00+00:00,TH_NP15_GEN-APND,47.48284
2024-01-01T08:00:00-08:00,2024-01-01 16:00:00+00:00,2024-01-01T09:00:00-08:00,2024-01-01 17:00:00+00:00,TH_NP15_GEN-APND,43.93622
2024-01-01T09:00:00-08:00,2024-01-01 17:00:00+00:00,2024-01-01T10:00:00-08:00,2024-01-01 18:00:00+00:00,TH_NP15_GEN-APND,39.24842
2024-01-01T10:00:00-08:00,2024-01-01 18:00:00+00:00,2024-01-01T11:00:00-08:00,2024-01-01 19:00:00+00:00,TH_NP15_GEN-APND,37.15188
2024-01-01T11:00:00-08:00,2024-01-01 19:00:00+00:00,2024-01-01T12:00:00-08:00,2024-01-01 20:00:00+00:00,TH_NP15_GEN-APND,36.05065
